model,k,t_fit_max,t_test_max,chi2_fit,rms_fit,aic_fit,bic_fit,n_fit,chi2_test,rms_test,n_test,param_A,param_B,param_sigma_tot,param_C
BaselineA,2,0.08,0.12,33.95936149633885,3.567462662080953,37.95936149633885,41.12639937325107,36,30.697843726096174,1.0957405388762724,13,510.68751187210637,20.082269324438297,,
BaselineB,2,0.08,0.12,33.95936149633637,3.5674628809880042,37.95936149633637,41.12639937324859,36,30.69782169822458,1.0957401971169,13,,20.082269204967766,99.01110215348616,
HSF,3,0.08,0.12,33.95936149633665,3.567462885801006,39.95936149633665,44.70991831170498,36,30.697821223995657,1.0957401897690853,13,510.6875094092535,20.082269202371176,,1.7058903487208176e-13
