7151.903922,2.023e-29,0.0346,0.38,0.25,#,-0.01554,3583.3743,87,81,3,3,4,3,2,0,3,1387,1380,1419,1413,817,0,1413
7151.921591,6.74e-30,0.0346,0.38,0.25,#,-0.01552,3583.3742,29,27,3,3,2,3,2,0,0,1387,1380,1419,1413,817,0,1413
7151.951189,2.67e-29,0.1,0.75,0.434,#,-0.00576,3791.3721,15,21,3,3,4,4,2,0,3,1387,1380,1232,1411,817,0,1411
7151.957187,4.148e-30,0.0701,0.64,0.315,#,-0.00874,1340.8849,19,19,3,3,2,3,2,0,0,1387,1380,1232,1411,817,0,1411
7151.982767,9.458e-30,0.0206,0.09,0.235,#,-0.01725,4183.389,31,29,2,3,2,3,2,0,0,1387,1380,1232,1411,817,0,1411
7151.99276,3.123e-22,0.0956,0.75,0.478,#,-0.01219,315.7795,9,9,4,6,7,2,6,0,1,15,1380,59,1413,59,0,59
7152.04493,8.487e-25,0.0286,0.29,0.315,#,-0.02736,2009.805,19,19,4,4,4,2,2,0,3,1386,1386,1232,1411,817,0,1411
7152.04629,2.546e-24,0.0286,0.29,0.315,#,-0.02734,2009.8051,57,57,4,4,4,2,2,0,3,1386,1386,1232,1411,817,0,1411
7152.107641,5.23e-26,0.0688,0.6,0.298,#,0.00432,1538.1495,23,21,4,5,4,2,2,0,3,1208,1214,1232,1411,817,0,1411
7152.167445,8.338e-30,0.0495,0.47,0.195,#,-0.01624,4174.287,105,105,3,3,2,3,2,0,0,1387,1380,1419,1413,817,0,1413
7152.2051,4.4e-27,0.0466,0.46,0.352,#,-0.00876,2905.4307,17,15,4,4,4,2,2,0,3,1208,1214,1232,1411,817,0,1411
7152.212538,7.62e-27,0.0467,0.46,0.352,#,-0.00862,2905.4336,51,45,4,4,4,2,2,0,3,1208,1214,1232,1411,817,0,1411
7152.243183,3.006e-29,0.0981,0.74,0.434,#,-0.01452,3392.7493,27,21,3,3,4,3,2,0,3,1387,1380,1232,1411,817,0,1411
7152.310131,1.17e-24,0.0483,0.45,0.281,#,-0.02396,2144.0463,69,69,4,5,4,2,4,0,3,1208,1216,1232,1411,817,0,1411
7152.335634,9.098e-28,0.0491,0.43,0.298,#,-0.02308,2904.4283,57,63,3,3,4,2,2,0,3,1387,1380,1232,1411,817,0,1411
7152.385723,2.12e-24,0.08,0.71,0.298,#,-0.02096,1616.4531,21,21,4,5,4,2,6,0,3,1208,1216,1232,1411,817,0,1411
7152.49359,1.33e-26,0.0781,0.69,0.333,#,-0.02133,2771.6902,17,17,4,5,4,2,2,0,3,1208,1214,1232,1411,817,0,1411
7152.550998,3.88e-29,0.0481,0.47,0.281,#,-0.02762,3833.1443,69,69,3,3,4,3,2,0,3,1387,1380,1232,1411,817,0,1411
7152.682228,1.323e-22,0.0866,0.71,0.46,#,-0.00393,416.2087,9,11,4,6,7,2,6,0,1,1208,1380,59,1413,59,0,59
7152.69405,1.259e-29,0.0394,0.37,0.221,#,-0.02416,3443.1919,29,31,3,3,4,2,9,0,3,1387,1380,44,819,817,0,44
7152.723576,3.882e-29,0.0887,0.71,0.412,#,0.0,383.8425,9,9,4,2,2,3,2,0,0,1387,1385,773,819,817,0,886
7152.796253,3.474e-29,0.0671,0.63,0.298,#,-0.00694,3565.0035,21,21,3,3,4,3,2,0,3,1387,1380,1232,1411,817,0,1411
7152.842263,4.882e-28,0.0612,0.57,0.315,#,-0.00896,3321.0133,57,57,3,3,4,2,2,0,3,1387,1380,1232,1411,817,0,1411
7152.843033,3.228e-30,0.0589,0.68,0.208,#,0.00642,2660.9448,99,99,3,3,2,3,2,0,0,1387,1380,1232,1411,817,0,1411
7152.85986,1.335e-28,0.0141,-0.03,0.208,#,-0.01038,2660.946,33,33,3,3,4,3,2,0,3,1387,1380,1232,1411,817,0,1411
7152.907566,2.045e-28,0.0833,0.69,0.391,#,0.0,399.4575,27,33,4,3,2,3,2,0,0,1387,1385,773,819,817,0,886
