date,sfu_245MHz,sfu_410MHz,sfu_610MHz,sfu_1415MHz,sfu_2695MHz,sfu_4995MHz,sfu_8800MHz,sfu_15400MHz,alpha,r2,resid_2695,resid_4995,resid_8800,resid_15400,max_abs_resid,which_band,B_G_s2,B_G_s3
2018-04-24,10.0,28.0,37.0,40.0,48.0,61.0,115.0,383.0,1.1758680297029092,0.8970544215795764,1.2764362879189026,0.785203955301572,0.7605872807714625,1.311805116996619,0.31180511699661895,15400.0,2750.0,1833.3
2018-03-31,20.0,29.0,29.0,33.0,42.0,56.0,101.0,341.0,1.1777117219209365,0.9023468171962633,1.2566234118357182,0.8101110487597465,0.7499339688770466,1.3098672148868966,0.3098672148868966,15400.0,2750.0,1833.3
2018-04-26,10.0,26.0,35.0,37.0,40.0,56.0,99.0,326.0,1.1769450195868483,0.9141022838379055,1.230478272766837,0.8333129206082615,0.7564652372326409,1.2892257157557945,0.2892257157557945,15400.0,2750.0,1833.3
2018-02-05,16.0,26.0,35.0,44.0,66.0,84.0,159.0,464.0,1.1120198519790392,0.9122823911435853,1.2428559268431687,0.7964540083878443,0.8031199132993077,1.2578768245689735,0.25787682456897354,15400.0,2750.0,1833.3
2018-02-18,13.0,24.0,35.0,44.0,61.0,84.0,165.0,480.0,1.1774101228474916,0.9333387411357912,1.2195914001090729,0.8121669227871862,0.8189723834519135,1.232738874139111,0.23273887413911098,15400.0,2750.0,1833.3
2018-04-14,12.0,27.0,31.0,45.0,60.0,113.0,380.0,,1.5518763408950937,0.9589068587755106,1.1107539019027493,0.8029311451496006,1.1212535943417592,,0.19706885485039938,4995.0,892.0,594.6
2018-02-14,13.0,24.0,35.0,48.0,71.0,96.0,189.0,453.0,1.0705214175330862,0.9491835998562566,1.1791859299892407,0.8236076113070823,0.8843398575193028,1.164335557994049,0.17918592998924066,2695.0,481.3,320.8
2018-01-11,13.0,27.0,36.0,48.0,70.0,102.0,214.0,518.0,1.1587013276167355,0.963215207668291,1.164818156472562,0.8303386976306074,0.9038358360339571,1.143923635350133,0.16966130236939259,4995.0,892.0,594.6
2018-02-15,14.0,25.0,37.0,49.0,72.0,107.0,239.0,514.0,1.1518021706803439,0.9738713486397504,1.1387528766003523,0.8314279059374882,0.9672889464326774,1.09191715945015,0.16857209406251183,4995.0,892.0,594.6
2018-01-09,12.0,27.0,36.0,47.0,70.0,104.0,227.0,520.0,1.1680034252236127,0.9703367815294478,1.1505542081579856,0.8314663047525909,0.9366342266500174,1.1160360849091275,0.16853369524740913,4995.0,892.0,594.6
2018-04-23,11.0,28.0,37.0,50.0,74.0,111.0,249.0,511.0,1.1357565999480528,0.9772149930700768,1.1255928231545418,0.8377534839045833,0.9877714705469911,1.073608555356154,0.16224651609541674,4995.0,892.0,594.6
2018-02-11,21.0,33.0,38.0,50.0,77.0,112.0,236.0,514.0,1.1068603919559938,0.9707246645115499,1.1413563687028097,0.8385630911939161,0.9440620327402222,1.1067319768042394,0.16143690880608386,4995.0,892.0,594.6
2018-01-10,13.0,27.0,36.0,47.0,71.0,107.0,235.0,515.0,1.157179120676012,0.9749277076948263,1.1364856468438764,0.8386723313630625,0.9564702339727488,1.0969132192198252,0.16132766863693748,4995.0,892.0,594.6
2018-04-22,11.0,29.0,37.0,51.0,76.0,112.0,243.0,507.0,1.11193303181951,0.9748266022508486,1.130915517133389,0.839194102748034,0.9700047950895189,1.0862593622274894,0.16080589725196603,4995.0,892.0,594.6
2018-01-13,11.0,25.0,35.0,47.0,70.0,106.0,231.0,518.0,1.1660831702722234,0.9742779636274951,1.139257947401614,0.8401304880029483,0.9459278085138161,1.1045190091984634,0.15986951199705168,4995.0,892.0,594.6
2018-02-09,25.0,30.0,37.0,50.0,76.0,112.0,238.0,515.0,1.116238355829795,0.9729778441330394,1.1366951323131174,0.8412450734076898,0.9500485356550479,1.1007474119061091,0.15875492659231016,4995.0,892.0,594.6
2018-10-19,12.0,32.0,37.0,46.0,71.0,115.0,202.0,516.0,1.1198385765139325,0.9675874434794614,1.1209557088137807,0.9097818587729342,0.8475584581963979,1.15692341796139,0.1569234179613901,15400.0,2750.0,1833.3
2018-01-19,12.0,25.0,35.0,47.0,68.0,105.0,234.0,509.0,1.176226348376859,0.9781574716021756,1.12879123170426,0.843514847060219,0.9656722168530463,1.0875867425627939,0.15648515293978105,4995.0,892.0,594.6
2018-01-02,12.0,26.0,35.0,46.0,69.0,107.0,240.0,520.0,1.1809011603073796,0.9787510599286915,1.1273230266516197,0.84358537471903,0.9694316534866564,1.0846893704522373,0.15641462528097005,4995.0,892.0,594.6
2018-02-10,15.0,26.0,36.0,52.0,77.0,114.0,241.0,521.0,1.114641785550685,0.9737247463244861,1.134353126035734,0.8442369289493337,0.9493656918574624,1.0999016393139807,0.15576307105066634,4995.0,892.0,594.6
2018-01-07,11.0,25.0,34.0,45.0,66.0,101.0,227.0,462.0,1.1433769546688364,0.9799053945752705,1.1175980922285613,0.8446264557985917,0.9934793092607267,1.0663280684222651,0.15537354420140825,4995.0,892.0,594.6
2018-01-03,12.0,25.0,34.0,47.0,68.0,105.0,228.0,520.0,1.18253414335418,0.9757580467243424,1.1364208598066912,0.8459174008370501,0.9402266770359011,1.1063697048070549,0.15408259916294986,4995.0,892.0,594.6
2018-01-24,18.0,27.0,35.0,46.0,68.0,106.0,237.0,512.0,1.1799635936682644,0.9795475347567,1.1246078110015014,0.8464382312696266,0.9701279875588803,1.082865704877624,0.15356176873037342,4995.0,892.0,594.6
2018-02-08,30.0,29.0,37.0,51.0,75.0,113.0,242.0,523.0,1.1326146957126457,0.9759771844285536,1.130268606957024,0.8466120991037149,0.9546803931742687,1.0946514599580985,0.15338790089628507,4995.0,892.0,594.6
2018-01-04,12.0,26.0,34.0,46.0,68.0,106.0,235.0,513.0,1.1794583624954982,0.9791654547047801,1.1259393442308416,0.8477046408802894,0.9636561559661807,1.08722228089826,0.1522953591197106,4995.0,892.0,594.6
2018-12-05,13.0,29.0,36.0,45.0,71.0,115.0,207.0,525.0,1.1329895106676846,0.9695639953831465,1.1223173551407908,0.9035253752061123,0.8561646345406914,1.1518254829796906,0.15182548297969056,15400.0,2750.0,1833.3
2018-01-17,6.0,18.0,31.0,47.0,68.0,102.0,208.0,499.0,1.1498851615513663,0.9679026966650469,1.1496601612548374,0.8482390925094075,0.9019250198437126,1.1369511346447454,0.15176090749059246,4995.0,892.0,594.6
2018-05-01,7.0,29.0,36.0,45.0,70.0,108.0,238.0,504.0,1.1544013208939403,0.9795744985811065,1.1215844143084046,0.8487992713532599,0.9728288706009405,1.0797583857845987,0.15120072864674006,4995.0,892.0,594.6
2018-01-26,13.0,25.0,34.0,45.0,69.0,106.0,226.0,515.0,1.1668314590413529,0.9752230221778853,1.1356114198105323,0.8491860574160041,0.9350321039435477,1.1090238128916827,0.15081394258399594,4995.0,892.0,594.6
2018-01-12,11.0,25.0,36.0,47.0,69.0,107.0,232.0,521.0,1.175878153803016,0.9772260437343613,1.1313270418178365,0.8492095718748229,0.9460523577863487,1.100225683485958,0.15079042812517707,4995.0,892.0,594.6
2018-01-21,14.0,26.0,34.0,45.0,68.0,105.0,226.0,505.0,1.1660417212880585,0.9770516978835522,1.1306518494599753,0.8502316046289398,0.9455221602420079,1.100175948077866,0.14976839537106024,4995.0,892.0,594.6
2018-01-06,11.0,25.0,35.0,46.0,66.0,105.0,238.0,508.0,1.1939640813161299,0.9820584143548021,1.1170873151553864,0.8507028776685551,0.9806487103968566,1.07305384792611,0.14929712233144488,4995.0,892.0,594.6
2018-01-25,13.0,27.0,35.0,46.0,68.0,107.0,238.0,513.0,1.1802023583315164,0.980798093388093,1.1204809318642297,0.85116268260404,0.970372125455501,1.0805494397220736,0.14883731739595996,4995.0,892.0,594.6
2018-01-16,11.0,24.0,33.0,48.0,69.0,107.0,231.0,514.0,1.1682125674865773,0.9778003188610587,1.128695385303692,0.8512510502177411,0.948347004602399,1.0974842920814791,0.14874894978225894,4995.0,892.0,594.6
2018-02-07,20.0,15.0,37.0,51.0,76.0,114.0,237.0,522.0,1.119548456671972,0.9743863903761891,1.1323666621967394,0.8512662341430617,0.9387698142446256,1.1050664688434653,0.14873376585693832,4995.0,892.0,594.6
2018-02-12,15.0,29.0,38.0,52.0,76.0,114.0,236.0,525.0,1.1217232258723384,0.9737103725783566,1.1341242280732786,0.8514441640909495,0.9338533070096785,1.1089310338130087,0.14855583590905053,4995.0,892.0,594.6
2018-01-14,8.0,22.0,35.0,47.0,69.0,108.0,233.0,529.0,1.1829253735978145,0.9777186062476803,1.130232725817761,0.8526014710844094,0.941328231541197,1.1024146104222288,0.14739852891559058,4995.0,892.0,594.6
2018-01-15,7.0,20.0,34.0,47.0,67.0,106.0,234.0,517.0,1.1904766757866745,0.9802826037308479,1.1234352248208643,0.8526269602208741,0.9591238099920997,1.0884744263321586,0.14737303977912586,4995.0,892.0,594.6
2018-04-27,11.0,29.0,36.0,49.0,70.0,109.0,240.0,505.0,1.1554197897143799,0.980945231994145,1.117118693824156,0.8527115946336234,0.9759210229802201,1.0756818450689887,0.14728840536637655,4995.0,892.0,594.6
2018-04-18,11.0,28.0,34.0,47.0,70.0,108.0,237.0,487.0,1.136151407566781,0.9810390011353062,1.1142778179444326,0.8528193966476553,0.9834412614939126,1.0700424813694929,0.14718060335234473,4995.0,892.0,594.6
2018-01-28,12.0,25.0,33.0,44.0,65.0,104.0,234.0,507.0,1.1995380958016237,0.9821487208094357,1.1177683282257742,0.8531462661066145,0.9731572019123432,1.077560603423775,0.14685373389338552,4995.0,892.0,594.6
2018-04-29,11.0,30.0,36.0,48.0,68.0,109.0,242.0,547.0,1.2129287027959208,0.9804608707888832,1.125141216776651,0.8532729153884611,0.9531482064896798,1.0928097729715467,0.14672708461153894,4995.0,892.0,594.6
2018-01-18,13.0,26.0,36.0,49.0,70.0,109.0,235.0,521.0,1.1676041483745263,0.9785169156604,1.1263830105422588,0.8533433643491611,0.9497214193755089,1.0954532800161991,0.14665663565083886,4995.0,892.0,594.6
2018-01-08,12.0,27.0,36.0,47.0,68.0,107.0,234.0,514.0,1.1781944891120806,0.9800953307243664,1.1226925685661027,0.8539000020822547,0.9582205549306089,1.088595800797274,0.1460999979177453,4995.0,892.0,594.6
2018-02-01,10.0,22.0,32.0,45.0,67.0,106.0,235.0,505.0,1.1792512105115496,0.9815894390028211,1.11767674483617,0.8541524724064373,0.9710998567929391,1.0786597981793964,0.14584752759356268,4995.0,892.0,594.6
2018-02-06,16.0,26.0,37.0,49.0,72.0,111.0,235.0,524.0,1.1527715510887806,0.9770765478297632,1.1286468927129927,0.8543437170807966,0.9415786484138452,1.1014192893276924,0.1456562829192034,4995.0,892.0,594.6
2018-12-27,13.0,30.0,34.0,46.0,70.0,116.0,205.0,515.0,1.1275529604947034,0.9723930633345703,1.1107236618879321,0.9179267488507992,0.856614510833805,1.1449869152247725,0.14498691522477247,15400.0,2750.0,1833.3
2018-01-22,12.0,27.0,35.0,46.0,68.0,107.0,233.0,507.0,1.170440829042781,0.9806451501289312,1.1200351894355933,0.8559642663581577,0.9606410861834616,1.0858042579396987,0.1440357336418423,4995.0,892.0,594.6
2018-11-24,12.0,29.0,34.0,46.0,70.0,114.0,208.0,519.0,1.1368549872732985,0.972395574692049,1.1185503623023811,0.9032577157904399,0.865692960452976,1.1433228708132779,0.14332287081327788,15400.0,2750.0,1833.3
2018-05-31,13.0,30.0,37.0,51.0,76.0,117.0,251.0,523.0,1.1265319336233346,0.9805957042453235,1.1153581236692502,0.8568450029170344,0.9712315375198943,1.077359438302324,0.14315499708296564,4995.0,892.0,594.6
2018-01-27,13.0,26.0,34.0,46.0,67.0,106.0,228.0,517.0,1.1858770631857933,0.9790607475533128,1.1261564966047086,0.8571214422232158,0.9419074294835932,1.0998935902875446,0.14287855777678415,4995.0,892.0,594.6
2018-02-19,13.0,25.0,35.0,47.0,66.0,105.0,229.0,508.0,1.1871380705894863,0.9808210741242376,1.1211053262691455,0.8573663009778268,0.9546393512298511,1.0898026063455726,0.14263369902217315,4995.0,892.0,594.6
2018-04-30,12.0,30.0,37.0,46.0,68.0,108.0,239.0,506.0,1.1724475194456982,0.9827124276264171,1.1128779663771955,0.857380777879805,0.9767596878843624,1.0729784164926177,0.14261922212019496,4995.0,892.0,594.6
2018-10-23,6.0,22.0,34.0,40.0,73.0,116.0,210.0,513.0,1.1077098738342679,0.9709525059096547,1.1205901496801016,0.8989622764172315,0.8690898019056371,1.1422129453812329,0.14221294538123286,15400.0,2750.0,1833.3
2018-10-13,15.0,32.0,38.0,47.0,72.0,114.0,210.0,514.0,1.118758162413836,0.9709869265516535,1.12429770270569,0.8925910583690551,0.8725926703234618,1.1419697086175158,0.1419697086175158,15400.0,2750.0,1833.3
2018-11-19,12.0,28.0,34.0,46.0,72.0,115.0,213.0,525.0,1.1306750586096639,0.9716780852214891,1.1237729371025558,0.8934069282063236,0.8722575503067594,1.1418981712580005,0.14189817125800053,15400.0,2750.0,1833.3
2018-04-28,11.0,30.0,37.0,47.0,70.0,110.0,239.0,509.0,1.1572442335427204,0.9816201043501417,1.115337742468937,0.8581960799487317,0.968212726602065,1.0790368784685382,0.1418039200512683,4995.0,892.0,594.6
